stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
20617,2011-06,B1_last_month,12.602100,product,12,C,False
20618,2011-06,B1_last_month,17.049900,product,12,C,False
20619,2011-06,B1_last_month,18.532500,product,12,C,False
20622,2011-06,B1_last_month,14.826000,product,12,B,False
20652,2011-06,B1_last_month,17.049900,product,12,C,False
20653,2011-06,B1_last_month,13.343400,product,12,C,False
20654,2011-06,B1_last_month,20.015100,product,12,C,False
20655,2011-06,B1_last_month,18.532500,product,12,C,False
20657,2011-06,B1_last_month,7.413000,product,12,C,False
20658,2011-06,B1_last_month,29.652000,product,12,B,False
20659,2011-06,B1_last_month,14.084700,product,12,C,False
20661,2011-06,B1_last_month,17.791200,product,12,C,False
20662,2011-06,B1_last_month,7.413000,product,12,C,False
20663,2011-06,B1_last_month,5.189100,product,12,C,False
20664,2011-06,B1_last_month,4.447800,product,12,C,False
20665,2011-06,B1_last_month,24.462900,product,12,A,False
20666,2011-06,B1_last_month,3.706500,product,12,C,False
20667,2011-06,B1_last_month,2.965200,product,11,C,False
20668,2011-06,B1_last_month,291.330900,product,12,B,False
20669,2011-06,B1_last_month,17.049900,product,12,C,False
20670,2011-06,B1_last_month,1.482600,product,12,C,False
20671,2011-06,B1_last_month,25.945500,product,12,B,False
20674,2011-06,B1_last_month,40.030200,product,12,A,False
20675,2011-06,B1_last_month,144.553500,product,12,A,False
20676,2011-06,B1_last_month,159.379500,product,12,A,False
20677,2011-06,B1_last_month,74.871300,product,12,A,False
20679,2011-06,B1_last_month,63.010500,product,12,A,False
20681,2011-06,B1_last_month,28.910700,product,12,A,False
20682,2011-06,B1_last_month,34.841100,product,12,A,False
20684,2011-06,B1_last_month,40.771500,product,12,B,False
20685,2011-06,B1_last_month,117.125400,product,12,A,False
20686,2011-06,B1_last_month,12.602100,product,12,B,False
20694,2011-06,B1_last_month,4.447800,product,12,C,False
20695,2011-06,B1_last_month,3.706500,product,12,C,False
20696,2011-06,B1_last_month,2.223900,product,12,C,False
