model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M2_gbm_poisson,forecast_only,2.050000,overall,all,0.732593,585299.000000,603643.000000,0.252949,1.031341,16529
M2_gbm_poisson,forecast_only,2.050000,month,2011-06,0.735217,72042.000000,89388.000000,0.236284,1.240776,2734
M2_gbm_poisson,forecast_only,2.050000,month,2011-07,0.747754,69273.000000,66302.000000,0.278500,0.957112,2693
M2_gbm_poisson,forecast_only,2.050000,month,2011-08,0.775923,64596.000000,107826.000000,0.175974,1.669236,2722
M2_gbm_poisson,forecast_only,2.050000,month,2011-09,0.671048,131205.000000,89015.000000,0.275206,0.678442,2787
M2_gbm_poisson,forecast_only,2.050000,month,2011-10,0.739069,111325.000000,137688.000000,0.228612,1.236811,2817
M2_gbm_poisson,forecast_only,2.050000,month,2011-11,0.740951,136858.000000,113424.000000,0.322406,0.828771,2776
M2_gbm_poisson,forecast_only,2.050000,abc,A,0.770834,360648.000000,372678.000000,0.353804,1.033357,4771
M2_gbm_poisson,forecast_only,2.050000,abc,B,0.651282,146961.000000,126542.000000,0.280622,0.861058,4825
M2_gbm_poisson,forecast_only,2.050000,abc,C,0.598752,77690.000000,104423.000000,0.164287,1.344098,6933
M2_gbm_poisson,forecast_plus_ss,1.280000,overall,all,0.880108,262419.000000,1880986.000000,0.088814,7.167873,16529
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-06,0.889470,30073.000000,308427.000000,0.074250,10.255944,2734
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-07,0.905733,25888.000000,290634.000000,0.085035,11.226591,2693
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-08,0.928995,20469.000000,318788.000000,0.045922,15.574185,2722
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-09,0.835806,65490.000000,289406.000000,0.109437,4.419087,2787
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-10,0.860828,59377.000000,358386.000000,0.096557,6.035771,2817
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-11,0.884306,61122.000000,315345.000000,0.120317,5.159272,2776
M2_gbm_poisson,forecast_plus_ss,1.280000,abc,A,0.915761,132570.000000,1266883.000000,0.103123,9.556333,4771
M2_gbm_poisson,forecast_plus_ss,1.280000,abc,B,0.818082,76666.000000,386390.000000,0.103627,5.039913,4825
M2_gbm_poisson,forecast_plus_ss,1.280000,abc,C,0.725324,53183.000000,227713.000000,0.068657,4.281688,6933
M2_gbm_poisson,forecast_plus_ss,1.645000,overall,all,0.898415,222348.000000,2297223.000000,0.072963,10.331656,16529
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-06,0.905263,25776.000000,378557.000000,0.061448,14.686414,2734
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-07,0.921165,21650.000000,362733.000000,0.067583,16.754411,2693
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-08,0.942784,16494.000000,387542.000000,0.037105,23.495938,2722
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-09,0.858679,56367.000000,356145.000000,0.091496,6.318325,2787
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-10,0.879356,51472.000000,428217.000000,0.083067,8.319416,2817
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-11,0.904244,50589.000000,384029.000000,0.095821,7.591156,2776
M2_gbm_poisson,forecast_plus_ss,1.645000,abc,A,0.932285,106566.000000,1560890.000000,0.080905,14.647167,4771
M2_gbm_poisson,forecast_plus_ss,1.645000,abc,B,0.841887,66634.000000,470494.000000,0.084560,7.060870,4825
M2_gbm_poisson,forecast_plus_ss,1.645000,abc,C,0.746164,49148.000000,265839.000000,0.059426,5.408948,6933
M2_gbm_poisson,forecast_plus_ss,2.050000,overall,all,0.913386,189579.000000,2770766.000000,0.060076,14.615364,16529
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-06,0.918344,22217.000000,457586.000000,0.050841,20.596210,2734
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-07,0.933593,18237.000000,444003.000000,0.053472,24.346274,2693
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-08,0.953884,13294.000000,465057.000000,0.031227,34.982473,2722
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-09,0.878481,48469.000000,432456.000000,0.077144,8.922321,2787
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-10,0.894381,45062.000000,508065.000000,0.070643,11.274799,2817
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-11,0.919933,42300.000000,463599.000000,0.076009,10.959787,2776
M2_gbm_poisson,forecast_plus_ss,2.050000,abc,A,0.945188,86259.000000,1895720.000000,0.064766,21.977069,4771
M2_gbm_poisson,forecast_plus_ss,2.050000,abc,B,0.862766,57835.000000,566119.000000,0.070052,9.788519,4825
M2_gbm_poisson,forecast_plus_ss,2.050000,abc,C,0.765082,45485.000000,308927.000000,0.049906,6.791843,6933
M3_gbm_squared,forecast_only,1.280000,overall,all,0.731869,586883.000000,659439.000000,0.225543,1.123629,16529
M3_gbm_squared,forecast_only,1.280000,month,2011-06,0.730472,73333.000000,93037.000000,0.224214,1.268692,2734
M3_gbm_squared,forecast_only,1.280000,month,2011-07,0.766507,64123.000000,81158.000000,0.243223,1.265661,2693
M3_gbm_squared,forecast_only,1.280000,month,2011-08,0.776520,64424.000000,114608.000000,0.171565,1.778964,2722
M3_gbm_squared,forecast_only,1.280000,month,2011-09,0.669236,131928.000000,101700.000000,0.243631,0.770875,2787
M3_gbm_squared,forecast_only,1.280000,month,2011-10,0.735358,112908.000000,142567.000000,0.208378,1.262683,2817
M3_gbm_squared,forecast_only,1.280000,month,2011-11,0.734687,140167.000000,126369.000000,0.261888,0.901560,2776
M3_gbm_squared,forecast_only,1.280000,abc,A,0.770458,361239.000000,379943.000000,0.349822,1.051777,4771
M3_gbm_squared,forecast_only,1.280000,abc,B,0.639225,152042.000000,135085.000000,0.263212,0.888472,4825
M3_gbm_squared,forecast_only,1.280000,abc,C,0.619866,73602.000000,144411.000000,0.113804,1.962053,6933
M3_gbm_squared,forecast_only,1.645000,overall,all,0.731869,586883.000000,659439.000000,0.225543,1.123629,16529
M3_gbm_squared,forecast_only,1.645000,month,2011-06,0.730472,73333.000000,93037.000000,0.224214,1.268692,2734
