model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M4_gbm_absolute,forecast_plus_ss,1.280000,abc,A,0.869780,204932.000000,909806.000000,0.151121,4.439551,4771
M4_gbm_absolute,forecast_plus_ss,1.280000,abc,B,0.715833,119757.000000,242188.000000,0.177824,2.022329,4825
M4_gbm_absolute,forecast_plus_ss,1.280000,abc,C,0.596619,78103.000000,101031.000000,0.172653,1.293561,6933
M4_gbm_absolute,forecast_plus_ss,1.645000,overall,all,0.842107,345596.000000,1598048.000000,0.139452,4.624035,16529
M4_gbm_absolute,forecast_plus_ss,1.645000,month,2011-06,0.872596,34664.000000,271728.000000,0.118142,7.838911,2734
M4_gbm_absolute,forecast_plus_ss,1.645000,month,2011-07,0.887658,30852.000000,272402.000000,0.126996,8.829314,2693
M4_gbm_absolute,forecast_plus_ss,1.645000,month,2011-08,0.906243,27028.000000,263125.000000,0.087803,9.735275,2722
M4_gbm_absolute,forecast_plus_ss,1.645000,month,2011-09,0.808566,76355.000000,238686.000000,0.169717,3.126004,2787
M4_gbm_absolute,forecast_plus_ss,1.645000,month,2011-10,0.809961,81079.000000,298144.000000,0.140930,3.677204,2817
M4_gbm_absolute,forecast_plus_ss,1.645000,month,2011-11,0.819011,95618.000000,253963.000000,0.191282,2.656017,2776
M4_gbm_absolute,forecast_plus_ss,1.645000,abc,A,0.894653,165788.000000,1166062.000000,0.118214,7.033452,4771
M4_gbm_absolute,forecast_plus_ss,1.645000,abc,B,0.745857,107104.000000,307302.000000,0.144249,2.869193,4825
M4_gbm_absolute,forecast_plus_ss,1.645000,abc,C,0.624504,72704.000000,124684.000000,0.150728,1.714954,6933
M4_gbm_absolute,forecast_plus_ss,2.050000,overall,all,0.864239,297153.000000,1995952.000000,0.115978,6.716917,16529
M4_gbm_absolute,forecast_plus_ss,2.050000,month,2011-06,0.890366,29829.000000,339781.000000,0.093636,11.390962,2734
M4_gbm_absolute,forecast_plus_ss,2.050000,month,2011-07,0.905704,25896.000000,341037.000000,0.107687,13.169486,2693
M4_gbm_absolute,forecast_plus_ss,2.050000,month,2011-08,0.925800,21390.000000,329292.000000,0.071639,15.394670,2722
M4_gbm_absolute,forecast_plus_ss,2.050000,month,2011-09,0.829874,67856.000000,304279.000000,0.140653,4.484187,2787
M4_gbm_absolute,forecast_plus_ss,2.050000,month,2011-10,0.833651,70972.000000,363873.000000,0.120696,5.126994,2817
M4_gbm_absolute,forecast_plus_ss,2.050000,month,2011-11,0.846283,81210.000000,317690.000000,0.159942,3.911957,2776
M4_gbm_absolute,forecast_plus_ss,2.050000,abc,A,0.915065,133665.000000,1461705.000000,0.089918,10.935585,4771
M4_gbm_absolute,forecast_plus_ss,2.050000,abc,B,0.772568,95847.000000,382383.000000,0.115648,3.989515,4825
M4_gbm_absolute,forecast_plus_ss,2.050000,abc,C,0.650653,67641.000000,151864.000000,0.134141,2.245147,6933
